what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1334620032095
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1334620032267
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1334620032345
os,sysinfo,,,"win32",1334620032360
arch,sysinfo,,,"x86_64",1334620032360
ws,sysinfo,,,"win32",1334620032360
locale,sysinfo,,,"en_US",1334620032360
processors,sysinfo,,,"2",1334620032360
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334620032360
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1334620032360
java.specification.name,sysinfo,,,"Java Platform API Specification",1334620032360
java.specification.vendor,sysinfo,,,"Oracle Corporation",1334620032360
java.specification.version,sysinfo,,,"1.7",1334620032360
java.vendor,sysinfo,,,"Oracle Corporation",1334620032360
java.version,sysinfo,,,"1.7.0_03",1334620032360
java.vm.info,sysinfo,,,"mixed mode",1334620032360
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334620032360
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334620032360
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1334620032360
java.vm.specification.version,sysinfo,,,"1.7",1334620032360
java.vm.vendor,sysinfo,,,"Oracle Corporation",1334620032360
java.vm.version,sysinfo,,,"22.1-b02",1334620032360
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1334620032454
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1334620033920
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1334620034045
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1334620034248
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1334620034466
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1334620034732
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1334620035340
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1334620035434
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1334620036026
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1334620036026
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1334620036557
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1334620036635
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1334620036666
error,log,,,"DDMS files not found: C:\\Users\\Rob\\Documents\\eclipse\\platform-tools\\adb.exe C:\\Users\\Rob\\Documents\\eclipse\\tools\\hprof-conv.exe C:\\Users\\Rob\\Documents\\eclipse\\tools\\traceview.bat ",1334620036760
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1334620037228
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1334620037742
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1334620037789
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1334620037836
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334620039774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334620046716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334620048307
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334620048494
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1334620049617
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1334620049617
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1334620050756
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1334620050756
